matrix_idx,gesture_id,chain,generation,target,director,condition,participant,ent_type,code_string,code_len,num_reps,vid_len,phase,acc
119,ex2_ch1_g2_vicar_B_TI,chain1,2,vicar,B,Transmission + Interaction,full4,person,"1hPointSelf<self-repeated>,1hCollar<leftright>",2.0,0.0,2.860392,testing,1.0
120,ex2_ch1_g3_concert_hall_A_TI,chain1,3,concert hall,A,Transmission + Interaction,full5,loc,"2hBox<small>,1hSpace,1hSing<right>",3.0,0.0,4.867319,testing,1.0
121,ex2_ch1_g3_to_sing_A_TI,chain1,3,to sing,A,Transmission + Interaction,full5,act,1hSing<right>,1.0,0.0,1.853573,testing,1.0
122,ex2_ch1_g3_darkroom_A_TI,chain1,3,darkroom,A,Transmission + Interaction,full5,loc,Squint<rightleft>,1.0,0.0,1.935367,testing,1.0
123,ex2_ch1_g3_to_take_a_photo_A_TI,chain1,3,to take a photo,A,Transmission + Interaction,full5,act,2hCamera<asymm-1Press>,1.0,0.0,1.788905,testing,1.0
124,ex2_ch1_g3_photographer_A_TI,chain1,3,photographer,A,Transmission + Interaction,full5,person,"1hPointSelf<self-repeated>,2hCamera<asymm-pressRepeated*2>",2.0,0.0,2.823594,testing,1.0
125,ex2_ch1_g3_hair_salon_A_TI,chain1,3,hair salon,A,Transmission + Interaction,full5,loc,"2hPoint.Box<small>,2hScissors-HoldHair<left>",2.0,0.0,2.072013,testing,1.0
126,ex2_ch1_g3_vicar_A_TI,chain1,3,vicar,A,Transmission + Interaction,full5,person,"1hPointSelf<self>,1hCollar<leftright>",2.0,0.0,2.067689,testing,1.0
127,ex2_ch1_g3_church_A_TI,chain1,3,church,A,Transmission + Interaction,full5,loc,"2hPoint.Box<full>,1hCollar<leftright>",2.0,0.0,2.638152,testing,1.0
128,ex2_ch1_g3_to_make_an_arrest_A_TI,chain1,3,to make an arrest,A,Transmission + Interaction,full5,act,"1hKnock<right>,1hPull<leftright>,2hFists.wristsX<left>",3.0,0.0,3.675502,testing,1.0
129,ex2_ch1_g3_singer_A_TI,chain1,3,singer,A,Transmission + Interaction,full5,person,"1hPointSelf<self-repeated>,1hSing<right>",2.0,0.0,2.421252,testing,1.0
130,ex2_ch1_g3_scissors_A_TI,chain1,3,scissors,A,Transmission + Interaction,full5,obj,Nod+1hScissors<rightleft>,1.0,0.0,2.444655,testing,0.0
131,ex2_ch1_g3_microphone_A_TI,chain1,3,microphone,A,Transmission + Interaction,full5,obj,"Sing+1hMicrophone<hold>,1hPointatObj<atObj>",2.0,0.0,3.029536,testing,1.0
132,ex2_ch1_g3_to_cook_A_TI,chain1,3,to cook,A,Transmission + Interaction,full5,act,2hBowl-Mix,1.0,0.0,1.486395,testing,1.0
133,ex2_ch1_g3_police_officer_A_TI,chain1,3,police officer,A,Transmission + Interaction,full5,person,"1hKnock<right>,1hBadge<left>,1hKnock<right>",3.0,1.0,4.072454,testing,1.0
